Title,Author,Assigned_To,Status,Word_Count,Last_Updated,Entry_File,Notes
In Patagonia,Bruce Chatwin,Ram,Complete,487,2026-01-21,in-patagonia-chatwin.md,Done
Wild,Cheryl Strayed,Ram,Complete,458,2026-01-21,wild-cheryl-strayed.md,Done
The Valleys of the Assassins,Freya Stark,Ram,Complete,442,2026-01-21,valley-of-the-assasins.md,Done
South,Ernest Shackleton,Ram,Complete,465,2026-01-21,south-ernest-shackleton.md,Done
There and Then,James Salter,Ram,Complete,421,2026-01-21,there-and-then-thubron.md,"File misnamed (thubron), should be (salter)"
